,inc_decile,Name,pcnt_spend,inflation,inf_rank
41,Decile 2,"5. Furniture, household equipment and maintenance",6.4,9.336454125311233,5.0
48,Decile 9,"5. Furniture, household equipment and maintenance",6.9,9.336454125311233,5.0
43,Decile 4,"5. Furniture, household equipment and maintenance",6.6,9.336454125311233,5.0
49,Decile 10,"5. Furniture, household equipment and maintenance",7.8,9.336454125311233,5.0
60,Decile 1,7. Transport,9.1,8.2880319750535,6.0
64,Decile 5,7. Transport,12.2,8.2880319750535,6.0
63,Decile 4,7. Transport,12.3,8.2880319750535,6.0
62,Decile 3,7. Transport,10.7,8.2880319750535,6.0
68,Decile 9,7. Transport,16.0,8.2880319750535,6.0
61,Decile 2,7. Transport,10.2,8.2880319750535,6.0
69,Decile 10,7. Transport,17.0,8.2880319750535,6.0
65,Decile 6,7. Transport,12.2,8.2880319750535,6.0
67,Decile 8,7. Transport,14.9,8.2880319750535,6.0
66,Decile 7,7. Transport,14.5,8.2880319750535,6.0
110,Decile 1,12. Miscellaneous goods and services,8.2,6.641796110554843,7.0
111,Decile 2,12. Miscellaneous goods and services,8.8,6.641796110554843,7.0
112,Decile 3,12. Miscellaneous goods and services,9.5,6.641796110554843,7.0
113,Decile 4,12. Miscellaneous goods and services,9.4,6.641796110554843,7.0
114,Decile 5,12. Miscellaneous goods and services,10.0,6.641796110554843,7.0
115,Decile 6,12. Miscellaneous goods and services,9.2,6.641796110554843,7.0
117,Decile 8,12. Miscellaneous goods and services,10.4,6.641796110554843,7.0
116,Decile 7,12. Miscellaneous goods and services,10.2,6.641796110554843,7.0
119,Decile 10,12. Miscellaneous goods and services,10.3,6.641796110554843,7.0
118,Decile 9,12. Miscellaneous goods and services,11.0,6.641796110554843,7.0
79,Decile 10,8. Communication,2.3,5.621339759103905,8.0
77,Decile 8,8. Communication,3.1,5.621339759103905,8.0
76,Decile 7,8. Communication,3.2,5.621339759103905,8.0
75,Decile 6,8. Communication,3.4,5.621339759103905,8.0
78,Decile 9,8. Communication,2.9,5.621339759103905,8.0
73,Decile 4,8. Communication,3.4,5.621339759103905,8.0
72,Decile 3,8. Communication,3.2,5.621339759103905,8.0
71,Decile 2,8. Communication,3.2,5.621339759103905,8.0
70,Decile 1,8. Communication,3.4,5.621339759103905,8.0
74,Decile 5,8. Communication,2.7,5.621339759103905,8.0
57,Decile 8,6. Health,2.3,4.979782796585042,9.0
50,Decile 1,6. Health,1.9,4.979782796585042,9.0
51,Decile 2,6. Health,1.8,4.979782796585042,9.0
52,Decile 3,6. Health,2.2,4.979782796585042,9.0
53,Decile 4,6. Health,1.7,4.979782796585042,9.0
54,Decile 5,6. Health,2.2,4.979782796585042,9.0
55,Decile 6,6. Health,2.8,4.979782796585042,9.0
56,Decile 7,6. Health,2.2,4.979782796585042,9.0
58,Decile 9,6. Health,1.9,4.979782796585042,9.0
59,Decile 10,6. Health,2.0,4.979782796585042,9.0
90,Decile 1,10. Education,0.5,4.822643951814021,10.0
99,Decile 10,10. Education,3.1,4.822643951814021,10.0
98,Decile 9,10. Education,1.2,4.822643951814021,10.0
97,Decile 8,10. Education,1.1,4.822643951814021,10.0
96,Decile 7,10. Education,0.5,4.822643951814021,10.0
94,Decile 5,10. Education,0.5,4.822643951814021,10.0
93,Decile 4,10. Education,0.9,4.822643951814021,10.0
92,Decile 3,10. Education,0.3,4.822643951814021,10.0
91,Decile 2,10. Education,0.9,4.822643951814021,10.0
95,Decile 6,10. Education,0.6,4.822643951814021,10.0
88,Decile 9,9. Recreation and culture,12.4,4.417106307596375,11.0
81,Decile 2,9. Recreation and culture,10.2,4.417106307596375,11.0
82,Decile 3,9. Recreation and culture,11.1,4.417106307596375,11.0
89,Decile 10,9. Recreation and culture,13.3,4.417106307596375,11.0
80,Decile 1,9. Recreation and culture,11.0,4.417106307596375,11.0
85,Decile 6,9. Recreation and culture,13.8,4.417106307596375,11.0
86,Decile 7,9. Recreation and culture,12.2,4.417106307596375,11.0
87,Decile 8,9. Recreation and culture,13.5,4.417106307596375,11.0
84,Decile 5,9. Recreation and culture,12.0,4.417106307596375,11.0
83,Decile 4,9. Recreation and culture,11.4,4.417106307596375,11.0
19,Decile 10,2. Alcoholic beverages and tobacco,4.8,4.164637646317448,12.0
18,Decile 9,2. Alcoholic beverages and tobacco,5.9,4.164637646317448,12.0
17,Decile 8,2. Alcoholic beverages and tobacco,6.0,4.164637646317448,12.0
16,Decile 7,2. Alcoholic beverages and tobacco,5.8,4.164637646317448,12.0
15,Decile 6,2. Alcoholic beverages and tobacco,5.6,4.164637646317448,12.0
14,Decile 5,2. Alcoholic beverages and tobacco,5.2,4.164637646317448,12.0
13,Decile 4,2. Alcoholic beverages and tobacco,5.0,4.164637646317448,12.0
12,Decile 3,2. Alcoholic beverages and tobacco,6.1,4.164637646317448,12.0
11,Decile 2,2. Alcoholic beverages and tobacco,5.1,4.164637646317448,12.0
10,Decile 1,2. Alcoholic beverages and tobacco,5.7,4.164637646317448,12.0
