,country,year,heat_consump
629,Luxembourg,2017,16.816
630,Malta,2017,3.071
631,Netherlands,2017,9.238
632,Norway,2017,
633,Poland,2017,13.203
634,Portugal,2017,4.068
635,Romania,2017,12.825
636,Serbia,2017,
637,Slovakia,2017,8.568
638,Slovenia,2017,13.372
639,Spain,2017,7.267
640,Sweden,2017,5.399
641,Switzerland,2017,9.881
642,United Kingdom,2017,9.177
643,European Union,2017,9.556
644,European Union 28,2017,9.262
645,,2017,
646,,2017,
647,Source Odyssee,2017,
648,Austria,2018,11.889
649,Belgium,2018,
650,Bulgaria,2018,8.773
651,Croatia,2018,17.443
652,Cyprus,2018,10.429
653,Czechia,2018,14.022
654,Denmark,2018,11.153
655,Estonia,2018,10.588
656,Finland,2018,6.587
657,France,2018,13.772
658,Germany,2018,11.141
659,Greece,2018,14.186
660,Hungary,2018,17.326
661,Ireland,2018,9.996
662,Italy,2018,16.278
663,Latvia,2018,11.876
664,Lithuania,2018,9.073
665,Luxembourg,2018,17.296
666,Malta,2018,3.252
667,Netherlands,2018,9.329
668,Norway,2018,
669,Poland,2018,13.243
670,Portugal,2018,3.579
671,Romania,2018,13.892
672,Serbia,2018,
673,Slovakia,2018,9.148
674,Slovenia,2018,13.032
675,Spain,2018,6.618
676,Sweden,2018,5.22
677,Switzerland,2018,9.715
678,United Kingdom,2018,9.181
679,European Union,2018,9.454
680,European Union 28,2018,9.228
681,,2018,
682,,2018,
683,Source Odyssee,2018,
684,Austria,2019,11.978
685,Belgium,2019,
686,Bulgaria,2019,9.147
687,Croatia,2019,17.317
688,Cyprus,2019,10.997
689,Czechia,2019,13.691
690,Denmark,2019,10.861
691,Estonia,2019,10.757
692,Finland,2019,6.403
693,France,2019,12.912
694,Germany,2019,11.353
695,Greece,2019,14.369
696,Hungary,2019,17.124
697,Ireland,2019,9.722
698,Italy,2019,15.364
699,Latvia,2019,11.91
700,Lithuania,2019,9.082
701,Luxembourg,2019,14.648
702,Malta,2019,2.644
703,Netherlands,2019,8.672
704,Norway,2019,
705,Poland,2019,12.348
706,Portugal,2019,4.319
707,Romania,2019,15.103
708,Serbia,2019,
709,Slovakia,2019,
710,Slovenia,2019,12.47
711,Spain,2019,6.841
712,Sweden,2019,5.134
713,Switzerland,2019,9.461
714,United Kingdom,2019,
715,European Union,2019,9.386
716,European Union 28,2019,
717,,2019,
718,,2019,
719,Source Odyssee,2019,
